time;voltage
15.8854;0.9882
15.8864;0.9882
15.8874;0.9882
15.8884;0.9882
15.8894;0.9882
15.8904;0.9882
15.8914;0.9882
15.8924;0.9882
15.8934;0.9882
15.8944;0.9882
15.8954;0.9882
15.8964;0.9882
15.8974;0.9882
15.8984;0.9882
15.8989;0.9882
15.8991;0.9882
15.8996;0.9882
15.9003;0.9882
15.9013;0.9882
15.9023;0.9882
15.9033;0.9882
15.9043;0.9882
15.9053;0.9882
15.9063;0.9882
15.9073;0.9882
15.9083;0.9882
15.9093;0.9882
15.9103;0.9882
15.9113;0.9882
15.9123;0.9882
15.9133;0.9882
15.9143;0.9882
15.9153;0.9882
15.9163;0.9882
15.9173;0.9882
15.9183;0.9882
15.9193;0.9882
15.9203;0.9882
15.9213;0.9882
15.9223;0.9882
15.9233;0.9882
15.9243;0.9882
15.9253;0.9882
15.9263;0.9882
15.9273;0.9882
15.9283;0.9882
15.9293;0.9882
15.9303;0.9882
15.9313;0.9882
15.9323;0.9882
15.9333;0.9882
15.9343;0.9882
15.9353;0.9882
15.9363;0.9882
15.9373;0.9882
15.9383;0.9882
15.9393;0.9882
15.9403;0.9882
15.9413;0.9882
15.9423;0.9882
15.9433;0.9882
15.9443;0.9882
15.9453;0.9882
15.9463;0.9882
15.9473;0.9882
15.9483;0.9882
15.9493;0.9882
15.9503;0.9882
15.9513;0.9882
15.9523;0.9882
15.9533;0.9882
15.9543;0.9882
15.9553;0.9882
15.9563;0.9882
15.9573;0.9882
15.9583;0.9882
15.9593;0.9882
15.9603;0.9882
15.9613;0.9882
15.9623;0.9882
15.9633;0.9882
15.9643;0.9882
15.9653;0.9882
15.9663;0.9882
15.9673;0.9882
15.9683;0.9882
15.9693;0.9882
15.9703;0.9882
15.9713;0.9882
15.9723;0.9882
15.9733;0.9882
15.9743;0.9882
15.9753;0.9882
15.9763;0.9882
15.9773;0.9882
15.9783;0.9882
15.9793;0.9882
15.9803;0.9882
15.9813;0.9882
15.9823;0.9882
15.9833;0.9882
15.9843;0.9882
15.9853;0.9882
15.9863;0.9882
15.9873;0.9882
15.9883;0.9882
15.9893;0.9882
15.9903;0.9882
15.9913;0.9882
15.9923;0.9882
15.9933;0.9882
15.9943;0.9882
15.9953;0.9882
15.9963;0.9882
15.9973;0.9882
15.9983;0.9882
15.9993;0.9882
16.0003;0.9882
16.0013;0.9882
16.0023;0.9882
16.0033;0.9882
16.0043;0.9882
16.0053;0.9882
16.0063;0.9882
16.0073;0.9882
16.0083;0.9882
16.0093;0.9882
16.0103;0.9882
16.0113;0.9882
16.0123;0.9882
16.0133;0.9882
16.0143;0.9882
16.0153;0.9882
16.0163;0.9882
16.0173;0.9882
16.0183;0.9882
16.0193;0.9882
16.0203;0.9882
16.0213;0.9882
16.0223;0.9882
16.0233;0.9882
16.0243;0.9882
16.0253;0.9882
16.0258;0.9882
16.0263;0.9882
16.0269;0.9882
16.0279;0.9882
16.0289;0.9882
16.0294;0.9882
16.0299;0.9882
16.0306;0.9882
16.0311;0.9882
16.0316;0.9882
16.0319;0.9882
16.0324;0.9882
16.0331;0.9882
16.0341;0.9882
16.0351;0.9882
16.0356;0.9882
16.0361;0.9882
16.0368;0.9882
16.0378;0.9882
16.0388;0.9882
16.0398;0.9882
16.0408;0.9882
16.0413;0.9882
16.0418;0.9882
16.0424;0.9882
16.0434;0.9882
16.0444;0.9882
16.0454;0.9882
16.0464;0.9882
16.0474;0.9882
16.0484;0.9882
16.0494;0.9882
16.0504;0.9882
16.0514;0.9882
16.0524;0.9882
16.0534;0.9882
16.0544;0.9882
16.0554;0.9882
16.0564;0.9882
16.0574;0.9882
16.0584;0.9882
16.0594;0.9882
16.0604;0.9882
16.0614;0.9882
16.0624;0.9882
16.0634;0.9882
16.0644;0.9882
16.0654;0.9882
16.0664;0.9882
16.0674;0.9882
16.0684;0.9882
16.0694;0.9882
16.0704;0.9882
16.0714;0.9882
16.0724;0.9882
16.0734;0.9882
16.0744;0.9882
16.0754;0.9882
16.0764;0.9882
16.0774;0.9882
16.0784;0.9882
16.0794;0.9882
16.0804;0.9882
16.0814;0.9882
16.0824;0.9882
16.0834;0.9882
16.0844;0.9882
16.0854;0.9882
16.0864;0.9882
16.0874;0.9882
16.0884;0.9882
16.0894;0.9882
16.0904;0.9882
16.0914;0.9882
16.0924;0.9882
16.0934;0.9882
16.0944;0.9882
16.0954;0.9882
16.0964;0.9882
16.0974;0.9882
16.0984;0.9882
16.0994;0.9882
16.1004;0.9882
16.1014;0.9882
16.1024;0.9882
16.1034;0.9882
16.1044;0.9882
16.1054;0.9882
16.1064;0.9882
16.1074;0.9882
16.1084;0.9882
16.1094;0.9882
16.1104;0.9882
16.1114;0.9882
16.1124;0.9882
16.1134;0.9882
16.1144;0.9882
16.1154;0.9882
16.1164;0.9882
16.1174;0.9882
16.1184;0.9882
16.1194;0.9882
16.1204;0.9882
16.1214;0.9882
16.1224;0.9882
16.1234;0.9882
16.1244;0.9882
16.1254;0.9882
16.1264;0.9882
16.1274;0.9882
16.1284;0.9882
16.1294;0.9882
16.1304;0.9882
16.1314;0.9882
16.1324;0.9882
16.1334;0.9882
16.1344;0.9882
16.1354;0.9882
16.1364;0.9882
16.1374;0.9882
16.1384;0.9882
16.1394;0.9882
16.1404;0.9882
16.1414;0.9882
16.1424;0.9882
16.1434;0.9882
16.1444;0.9882
16.1454;0.9882
16.1464;0.9882
16.1474;0.9882
16.1484;0.9882
16.1494;0.9882
16.1504;0.9882
16.1514;0.9882
16.1524;0.9882
16.1534;0.9882
16.1544;0.9882
16.1554;0.9882
16.1564;0.9882
16.1574;0.9882
16.1584;0.9882
16.1594;0.9882
16.1604;0.9882
16.1614;0.9882
16.1624;0.9882
16.1634;0.9882
16.1644;0.9882
16.1654;0.9882
16.1664;0.9882
16.1674;0.9882
16.1684;0.9882
16.1694;0.9882
16.1704;0.9882
16.1714;0.9882
16.1724;0.9882
16.1734;0.9882
16.1744;0.9882
16.1754;0.9882
16.1764;0.9882
16.1774;0.9882
16.1784;0.9882
16.1794;0.9882
16.1804;0.9882
16.1814;0.9882
16.1824;0.9882
16.1834;0.9882
16.1844;0.9882
16.1854;0.9882
16.1864;0.9882
16.1874;0.9882
16.1884;0.9882
16.1894;0.9882
16.1904;0.9882
16.1914;0.9882
16.1924;0.9882
16.1934;0.9882
16.1944;0.9882
16.1954;0.9882
16.1964;0.9882
16.1974;0.9882
16.1984;0.9882
